path,subject_id,date_id,gesture,repetition,correctness,posture,speed_mean,speed_std,speed_range,accel_mean,accel_std,accel_range,jerk_mean,jerk_std,jerk_range,smoothness_mean,smoothness_std,smoothness_range,n_frames
data/RawData/101_18_0_1_1_stand.txt,101,18,0,1,1,stand,0.01708676917418908,0.009000280040331595,0.03905549153097367,0.13762855007257718,0.10513567575551344,0.3970024318515709,3.494748838622024,2.6295155878505607,11.045680320485253,0.1865638541422635,0.0,0.0,59
data/RawData/101_18_0_2_1_stand.txt,101,18,0,2,1,stand,0.007799087372108924,0.006581633287913982,0.03279710433114767,0.13100720654258935,0.11624706510002678,0.4666291091773454,3.065883796015757,2.50271217719658,10.623890642071371,0.2024434110569029,0.0,0.0,44
data/RawData/101_18_0_3_1_stand.txt,101,18,0,3,1,stand,0.021624939225348288,0.02181491714332141,0.11224814616082154,0.30254593749255065,0.42429064808862216,1.8707772587496543,6.882535601450618,10.142774234287915,49.10493638867326,0.0758839481393691,0.0,0.0,53
data/RawData/101_18_0_4_1_stand.txt,101,18,0,4,1,stand,0.016633879126528816,0.008986095317378285,0.04167233447936385,0.19134576743038317,0.11593922423876551,0.4755879456990859,4.0384352081015,2.8302932038943864,12.341647111154938,0.16899848321185923,0.0,0.0,57
data/RawData/101_18_0_5_1_stand.txt,101,18,0,5,1,stand,0.014138534740090743,0.011523918414688148,0.05858208564857009,0.18737514727614382,0.1722865133185203,0.7744769879015463,4.183103843867408,4.196864712476993,20.653715341791585,0.14491246219503504,0.0,0.0,60
data/RawData/101_18_0_6_1_chair.txt,101,18,0,6,1,chair,0.38085971890844766,1.321721023622804,6.775529127488654,9.813310990568135,32.578078252361834,199.17830685217208,280.48222530569285,864.0507374017078,4540.615874808565,0.0011063600599619825,0.0,0.0,74
data/RawData/101_18_0_7_1_chair.txt,101,18,0,7,1,chair,0.00942356949941793,0.007434033158164145,0.035167308040770534,0.1819563592034879,0.11650995386123536,0.5148189565890454,4.487398954735802,3.0977217593393287,14.917376472877825,0.1553036787710286,0.0,0.0,64
data/RawData/101_18_0_8_1_chair.txt,101,18,0,8,1,chair,0.009898230692037794,0.006405563831443081,0.03151312403089849,0.18313971061813647,0.09106992920523341,0.3776465050097008,4.558039787305943,2.2722765446072346,10.781404800294128,0.16434261565011815,0.0,0.0,62
data/RawData/101_18_0_9_1_stand.txt,101,18,0,9,1,stand,0.015226682157688066,0.01717773673961137,0.10696333383566405,0.21640388109364372,0.361965895573953,1.7917108910077875,5.645857978320103,9.15493780627268,50.488808633221076,0.08547557543653851,0.0,0.0,69
data/RawData/101_18_1_10_1_chair.txt,101,18,1,10,1,chair,0.012661729030472364,0.010091951761728961,0.05191421989702678,0.25797880449402216,0.19004360984599566,0.7572848531949112,6.6691000360730115,4.431852027718587,19.189406424491928,0.11123977642805163,0.0,0.0,69
data/RawData/101_18_1_11_1_chair.txt,101,18,1,11,1,chair,0.014059387084039386,0.009455130065204792,0.0496239333847019,0.2821569370814577,0.19908341758425865,1.010194183046197,7.06910231545565,4.842684460495627,25.669137556245197,0.1047120126236561,0.0,0.0,73
data/RawData/101_18_1_12_1_chair.txt,101,18,1,12,1,chair,0.012612672358609389,0.006100013903225347,0.030060890820946307,0.24087242119754712,0.1443450209698793,0.7898313813150223,6.026425531376462,3.807983642160435,19.15446965002732,0.12323810544018575,0.0,0.0,71
data/RawData/101_18_1_13_1_chair.txt,101,18,1,13,1,chair,0.011300616688775342,0.005641709967721034,0.022627891314573236,0.22709303619519217,0.11072503206212074,0.4850288947662698,5.698307988840875,2.762874209096326,12.353385313645095,0.13650433308224175,0.0,0.0,86
data/RawData/101_18_1_1_1_stand.txt,101,18,1,1,1,stand,0.010514900000214815,0.0064725175555252505,0.02798164806683593,0.08924939125202799,0.0670699107614186,0.3794250095082622,2.0213780354638233,1.5280173336199896,8.102159787226778,0.2833230871824074,0.0,0.0,105
